id,segment,job,started,uploaded,completed,selected,willingToSalon,willingToPay,identity,latency,pain,desired
"R3-62","低维护","找到好打理的发型","true","false","false","false","false","false","3.4","0","没有合适照片或不想上传","原图与结果滑动对比"
"R3-63","低维护","找到好打理的发型","true","true","true","false","false","false","3.5","703","人物一致性不足","让发型师二次确认"
"R3-64","低维护","确认日常维护成本","true","true","true","true","false","false","4.0","703","结果仍像参考而非承诺","显示可信度"
"R3-65","低维护","找到好打理的发型","false","false","false","false","false","false","3.9","0","没有立即看懂价值","原图与结果滑动对比"
"R3-66","低维护","找到好打理的发型","true","true","true","true","true","false","3.6","703","人物一致性不足","显示可信度"
"R3-67","低维护","确认日常维护成本","true","false","false","false","false","false","3.9","0","没有合适照片或不想上传","原图与结果滑动对比"
"R3-68","低维护","确认日常维护成本","true","true","true","true","true","false","3.8","703","无法微调不满意的部分","原图与结果滑动对比"
"R3-69","低维护","找到好打理的发型","true","true","true","true","true","false","3.3","704","人物一致性不足","显示可信度"
"R3-70","低维护","找到好打理的发型","false","false","false","false","false","false","4.0","0","没有立即看懂价值","显示可信度"
"R3-71","尝鲜分享","保存分享效果","true","false","false","false","false","false","4.0","0","没有合适照片或不想上传","不满意时局部调整"
"R3-72","尝鲜分享","尝试不同风格","true","true","true","true","true","false","3.7","704","缺少现实可实现说明","原图与结果滑动对比"
"R3-73","尝鲜分享","保存分享效果","true","false","false","false","false","false","4.0","0","没有合适照片或不想上传","不满意时局部调整"
"R3-74","尝鲜分享","尝试不同风格","true","true","true","true","true","false","3.2","705","人物一致性不足","多角度预览"
"R3-75","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.3","705","人物一致性不足","让发型师二次确认"
"R3-76","尝鲜分享","保存分享效果","true","true","true","true","true","false","3.5","706","人物一致性不足","显示可信度"
"R3-77","尝鲜分享","保存分享效果","true","true","true","true","true","false","3.4","706","人物一致性不足","显示可信度"
"R3-78","尝鲜分享","保存分享效果","true","true","true","true","true","false","3.4","708","人物一致性不足","不满意时局部调整"
"R3-79","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.9","708","结果仍像参考而非承诺","显示可信度"
"R3-80","尝鲜分享","尝试不同风格","true","true","true","false","false","false","3.2","708","人物一致性不足","原图与结果滑动对比"
"R3-81","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.7","705","结果仍像参考而非承诺","不满意时局部调整"
"R3-82","尝鲜分享","尝试不同风格","true","true","true","true","true","false","3.7","706","人物一致性不足","显示可信度"
"R3-83","尝鲜分享","尝试不同风格","false","false","false","false","false","false","3.9","0","没有立即看懂价值","不满意时局部调整"
"R3-84","尝鲜分享","保存分享效果","true","true","true","true","true","false","4.1","706","结果仍像参考而非承诺","让发型师二次确认"
"R3-85","尝鲜分享","保存分享效果","true","true","true","true","true","false","3.9","706","不知道下一步怎么带到店","多角度预览"
"R3-86","尝鲜分享","尝试不同风格","true","true","true","true","true","false","3.5","707","人物一致性不足","显示可信度"
"R3-87","隐私敏感","不泄露照片地预览","true","false","false","false","false","false","4.0","0","没有合适照片或不想上传","不满意时局部调整"
"R3-88","隐私敏感","确认照片处理边界","true","true","true","false","false","false","3.2","707","人物一致性不足","显示可信度"
"R3-89","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","3.6","708","人物一致性不足","原图与结果滑动对比"
"R3-90","隐私敏感","不泄露照片地预览","false","false","false","false","false","false","3.4","0","没有立即看懂价值","原图与结果滑动对比"
"R3-91","隐私敏感","不泄露照片地预览","true","true","true","true","false","false","3.2","704","人物一致性不足","不满意时局部调整"
"R3-92","隐私敏感","确认照片处理边界","true","true","true","true","true","false","3.6","704","人物一致性不足","多角度预览"
"R3-93","隐私敏感","确认照片处理边界","true","true","true","true","false","false","3.7","705","人物一致性不足","不满意时局部调整"
"R3-94","隐私敏感","确认照片处理边界","true","true","false","false","false","false","3.9","0","担心人脸数据","让发型师二次确认"
"R3-95","隐私敏感","确认照片处理边界","true","true","true","false","false","false","3.8","705","缺少现实可实现说明","多角度预览"
"R3-96","隐私敏感","确认照片处理边界","false","false","false","false","false","false","3.4","0","没有立即看懂价值","多角度预览"
"R3-97","隐私敏感","确认照片处理边界","true","true","true","false","false","false","4.0","705","结果仍像参考而非承诺","原图与结果滑动对比"
"R3-98","隐私敏感","不泄露照片地预览","true","true","true","true","true","false","3.9","705","不知道下一步怎么带到店","让发型师二次确认"
"R3-99","隐私敏感","确认照片处理边界","true","true","true","true","true","false","3.9","707","不知道下一步怎么带到店","显示可信度"
"R3-100","隐私敏感","确认照片处理边界","true","true","true","true","true","false","3.2","707","人物一致性不足","不满意时局部调整"
