id,segment,job,started,uploaded,completed,selected,willingToSalon,willingToPay,identity,latency,pain,desired
"R1-59","低维护","确认日常维护成本","true","true","true","true","false","false","3.9","709","缺少现实可实现说明","更真实地保持本人"
"R1-60","低维护","找到好打理的发型","true","false","false","false","false","false","3.4","0","没有合适照片或不想上传","支持重生成"
"R1-61","低维护","找到好打理的发型","true","true","true","true","true","false","3.6","704","人物一致性不足","明确照片保存与删除"
"R1-62","低维护","确认日常维护成本","true","true","true","false","false","false","3.7","704","不知道下一步怎么带到店","更真实地保持本人"
"R1-63","低维护","确认日常维护成本","true","true","true","true","false","false","3.7","705","人物一致性不足","支持重生成"
"R1-64","低维护","找到好打理的发型","true","true","true","false","false","false","4.1","705","缺少现实可实现说明","更真实地保持本人"
"R1-65","低维护","找到好打理的发型","true","true","true","false","false","false","3.7","707","人物一致性不足","先看真实案例"
"R1-66","低维护","确认日常维护成本","true","false","false","false","false","false","4.1","0","没有合适照片或不想上传","支持重生成"
"R1-67","低维护","找到好打理的发型","false","false","false","false","false","false","3.5","0","没有立即看懂价值","更真实地保持本人"
"R1-68","低维护","找到好打理的发型","true","true","true","true","false","false","3.5","707","人物一致性不足","先看真实案例"
"R1-69","低维护","找到好打理的发型","true","true","true","false","false","false","3.3","707","人物一致性不足","支持重生成"
"R1-70","低维护","找到好打理的发型","true","true","false","false","false","false","3.5","0","人物一致性不足","明确照片保存与删除"
"R1-71","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.7","703","人物一致性不足","支持重生成"
"R1-72","尝鲜分享","保存分享效果","true","true","true","true","true","false","4.0","703","无法微调不满意的部分","展示打理难度"
"R1-73","尝鲜分享","尝试不同风格","true","true","true","true","true","false","4.0","704","不知道下一步怎么带到店","展示打理难度"
"R1-74","尝鲜分享","保存分享效果","true","true","true","true","true","false","3.8","704","缺少现实可实现说明","先看真实案例"
"R1-75","尝鲜分享","保存分享效果","false","false","false","false","false","false","3.9","0","没有立即看懂价值","展示打理难度"
"R1-76","尝鲜分享","尝试不同风格","true","true","true","false","false","false","3.8","706","结果仍像参考而非承诺","展示打理难度"
"R1-77","尝鲜分享","尝试不同风格","true","true","true","true","true","false","3.7","706","不知道下一步怎么带到店","更真实地保持本人"
"R1-78","尝鲜分享","保存分享效果","true","true","true","true","false","false","3.7","707","不知道下一步怎么带到店","支持重生成"
"R1-79","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.8","707","缺少现实可实现说明","更真实地保持本人"
"R1-80","尝鲜分享","尝试不同风格","false","false","false","false","false","false","3.6","0","没有立即看懂价值","明确照片保存与删除"
"R1-81","尝鲜分享","保存分享效果","true","false","false","false","false","false","3.6","0","没有合适照片或不想上传","先看真实案例"
"R1-82","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.8","705","缺少现实可实现说明","展示打理难度"
"R1-83","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.8","705","无法微调不满意的部分","支持重生成"
"R1-84","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.4","705","人物一致性不足","先看真实案例"
"R1-85","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.5","705","人物一致性不足","支持重生成"
"R1-86","尝鲜分享","保存分享效果","false","false","false","false","false","false","3.9","0","没有立即看懂价值","支持重生成"
"R1-87","隐私敏感","确认照片处理边界","true","true","false","false","false","false","3.6","0","担心人脸数据","展示打理难度"
"R1-88","隐私敏感","不泄露照片地预览","true","true","true","true","true","false","3.9","707","结果仍像参考而非承诺","展示打理难度"
"R1-89","隐私敏感","确认照片处理边界","true","true","true","true","true","false","3.5","707","人物一致性不足","先看真实案例"
"R1-90","隐私敏感","确认照片处理边界","true","true","true","false","false","false","3.3","708","人物一致性不足","更真实地保持本人"
"R1-91","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","3.7","704","人物一致性不足","更真实地保持本人"
"R1-92","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","4.0","704","结果仍像参考而非承诺","支持重生成"
"R1-93","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","4.0","705","不知道下一步怎么带到店","先看真实案例"
"R1-94","隐私敏感","确认照片处理边界","true","true","true","false","false","false","4.0","705","结果仍像参考而非承诺","支持重生成"
"R1-95","隐私敏感","不泄露照片地预览","false","false","false","false","false","false","3.5","0","没有立即看懂价值","支持重生成"
"R1-96","隐私敏感","确认照片处理边界","true","true","true","true","false","false","4.0","706","无法微调不满意的部分","支持重生成"
"R1-97","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","3.8","706","结果仍像参考而非承诺","明确照片保存与删除"
"R1-98","隐私敏感","不泄露照片地预览","false","false","false","false","false","false","4.0","0","没有立即看懂价值","展示打理难度"
"R1-99","隐私敏感","不泄露照片地预览","true","true","true","true","false","false","3.5","706","人物一致性不足","更真实地保持本人"
"R1-100","隐私敏感","确认照片处理边界","true","false","false","false","false","false","3.2","0","没有合适照片或不想上传","展示打理难度"
