id,segment,started,uploaded,consented,completed,selected,willingToSalon,willingToPay,status,latency,identity,realism,distinction,usefulness,privacyTrust,feedback
"U014","近期准备剪发","true","true","true","true","true","true","true","201","705","4.0","4.3","4.8","4.6","3.9","三种真实效果放在一起很容易做决定"
"U015","近期准备剪发","true","true","true","true","true","true","false","201","703","3.3","4.2","4.5","3.9","4.0","发型有区别，但脸看起来不像完全同一个人"
"U016","近期准备剪发","true","true","true","true","true","true","false","201","706","4.2","4.4","4.4","4.3","4.1","比明星参考图更有用，因为能看到自己的大概效果"
"U017","近期准备剪发","true","true","true","true","false","false","false","201","705","3.7","4.5","4.5","3.8","4.3","发型有区别，但脸看起来不像完全同一个人"
"U018","近期准备剪发","true","false","false","false","false","false","false","0","0","4.2","4.5","4.7","4.6","4.0","当时没有合适的正脸照片"
"U019","近期准备剪发","true","false","false","false","false","false","false","0","0","3.3","3.8","4.3","4.4","3.9","当时没有合适的正脸照片"
"U020","近期准备剪发","true","true","true","true","false","false","false","201","706","3.5","4.3","4.7","4.4","4.0","发型有区别，但脸看起来不像完全同一个人"
"U021","近期准备剪发","true","true","true","true","true","true","false","201","707","4.0","4.3","4.5","4.5","4.3","比明星参考图更有用，因为能看到自己的大概效果"
"U022","近期准备剪发","true","true","true","true","false","false","false","201","705","3.3","4.2","4.3","4.4","4.2","发型有区别，但脸看起来不像完全同一个人"
"U023","近期准备剪发","true","true","true","true","true","true","true","201","703","4.2","4.3","4.6","4.2","4.2","比明星参考图更有用，因为能看到自己的大概效果"
"U024","近期准备剪发","true","true","true","true","false","false","false","201","704","3.5","4.2","4.5","4.1","4.1","发型有区别，但脸看起来不像完全同一个人"
"U025","近期准备剪发","true","true","true","true","true","true","false","201","704","4.1","4.2","4.8","4.4","4.0","三种真实效果放在一起很容易做决定"
"U026","近期准备剪发","true","true","true","true","true","true","true","201","706","4.1","4.3","4.5","3.8","3.9","三种真实效果放在一起很容易做决定"
"U027","近期准备剪发","true","true","true","true","true","true","false","201","705","3.3","4.3","4.7","4.1","4.2","发型有区别，但脸看起来不像完全同一个人"
"U028","近期准备剪发","true","true","true","true","true","true","false","201","704","3.3","3.8","4.4","3.8","4.0","发型有区别，但脸看起来不像完全同一个人"
"U029","近期准备剪发","true","true","true","true","true","true","false","201","705","3.7","4.4","4.8","4.5","4.0","发型有区别，但脸看起来不像完全同一个人"
"U030","近期准备剪发","true","true","false","false","false","false","false","0","0","4.2","4.1","4.5","3.8","4.0","仍担心人脸照片的处理边界"
"U031","谨慎决策","true","true","true","true","true","true","false","201","703","3.3","4.1","4.3","4.3","4.3","发型有区别，但脸看起来不像完全同一个人"
"U032","谨慎决策","false","false","false","false","false","false","false","0","0","3.7","4.1","4.7","4.4","3.8","首屏仍不足以让我立即上传照片"
"U033","谨慎决策","true","true","true","true","false","false","false","201","703","3.3","4.2","4.7","3.7","4.2","发型有区别，但脸看起来不像完全同一个人"
"U034","谨慎决策","true","true","true","true","false","false","false","201","705","3.2","4.4","4.3","3.7","4.2","发型有区别，但脸看起来不像完全同一个人"
"U035","谨慎决策","true","true","true","true","false","false","false","201","706","3.8","4.0","4.5","3.6","3.8","结果有参考价值，但还不足以让我确定最终方案"
"U036","谨慎决策","false","false","false","false","false","false","false","0","0","3.6","4.1","4.7","4.0","3.8","首屏仍不足以让我立即上传照片"
"U037","谨慎决策","true","true","true","true","true","true","false","201","706","3.4","4.5","4.6","4.5","4.1","发型有区别，但脸看起来不像完全同一个人"
"U038","谨慎决策","false","false","false","false","false","false","false","0","0","3.8","4.0","4.8","3.8","4.3","首屏仍不足以让我立即上传照片"
"U039","谨慎决策","true","true","true","true","true","true","false","201","706","3.8","4.5","4.3","4.5","3.9","比明星参考图更有用，因为能看到自己的大概效果"
"U040","谨慎决策","false","false","false","false","false","false","false","0","0","3.9","4.0","4.5","4.3","4.2","首屏仍不足以让我立即上传照片"
"U041","谨慎决策","true","true","true","true","true","true","false","201","703","3.5","4.1","4.3","3.9","3.9","发型有区别，但脸看起来不像完全同一个人"
"U042","谨慎决策","true","true","true","true","false","false","false","201","703","3.6","4.2","4.8","3.9","3.8","发型有区别，但脸看起来不像完全同一个人"
"U043","谨慎决策","true","true","true","true","false","false","false","201","705","3.1","3.8","4.5","4.5","3.8","发型有区别，但脸看起来不像完全同一个人"
"U044","谨慎决策","false","false","false","false","false","false","false","0","0","3.6","4.3","4.3","4.5","3.9","首屏仍不足以让我立即上传照片"
"U045","谨慎决策","true","true","true","true","true","true","false","201","706","3.8","4.3","4.6","4.3","4.1","三种真实效果放在一起很容易做决定"
"U046","谨慎决策","true","true","true","true","true","true","false","201","704","3.9","4.3","4.4","3.9","4.1","比明星参考图更有用，因为能看到自己的大概效果"
"U047","谨慎决策","false","false","false","false","false","false","false","0","0","3.4","4.1","4.8","3.8","4.3","首屏仍不足以让我立即上传照片"
"U048","谨慎决策","true","true","true","true","true","true","false","201","702","3.8","4.2","4.3","4.5","4.0","三种真实效果放在一起很容易做决定"
"U049","谨慎决策","true","true","true","true","false","false","false","201","704","3.5","4.2","4.4","3.6","4.0","发型有区别，但脸看起来不像完全同一个人"
"U050","谨慎决策","true","true","true","true","false","false","false","201","706","3.4","4.5","4.3","4.5","3.8","发型有区别，但脸看起来不像完全同一个人"
"U051","谨慎决策","false","false","false","false","false","false","false","0","0","3.8","3.9","4.6","3.7","3.9","首屏仍不足以让我立即上传照片"
"U052","谨慎决策","false","false","false","false","false","false","false","0","0","3.2","4.0","4.8","3.7","4.1","首屏仍不足以让我立即上传照片"
"U053","社交尝鲜","true","true","true","true","true","true","false","201","706","3.8","4.0","4.5","4.5","4.2","比明星参考图更有用，因为能看到自己的大概效果"
"U054","社交尝鲜","false","false","false","false","false","false","false","0","0","4.2","4.2","4.8","3.7","4.5","首屏仍不足以让我立即上传照片"
"U055","社交尝鲜","false","false","false","false","false","false","false","0","0","3.4","4.4","4.3","3.7","4.2","首屏仍不足以让我立即上传照片"
"U056","社交尝鲜","true","true","false","false","false","false","false","0","0","3.4","3.8","4.5","4.3","4.1","仍担心人脸照片的处理边界"
"U057","社交尝鲜","true","true","true","true","false","false","false","201","706","3.3","4.0","4.3","4.5","4.1","发型有区别，但脸看起来不像完全同一个人"
"U058","社交尝鲜","true","true","true","true","false","false","false","201","705","4.1","4.5","4.8","4.1","4.2","结果有参考价值，但还不足以让我确定最终方案"
"U059","社交尝鲜","true","true","true","true","true","true","false","201","705","3.7","4.5","4.5","4.4","4.0","发型有区别，但脸看起来不像完全同一个人"
"U060","社交尝鲜","true","true","false","false","false","false","false","0","0","3.3","3.8","4.8","4.4","3.9","仍担心人脸照片的处理边界"
"U061","社交尝鲜","true","true","true","true","true","true","true","201","704","4.1","4.5","4.5","3.6","4.3","三种真实效果放在一起很容易做决定"
"U062","社交尝鲜","true","true","true","true","true","true","false","201","705","3.5","4.2","4.4","4.3","4.3","发型有区别，但脸看起来不像完全同一个人"
"U063","社交尝鲜","true","true","true","true","true","true","false","201","705","4.2","4.4","4.3","3.7","4.1","愿意把选中的结果带给发型师沟通"
"U064","社交尝鲜","true","true","true","true","true","true","false","201","703","3.8","4.3","4.5","4.3","4.0","比明星参考图更有用，因为能看到自己的大概效果"
"U065","社交尝鲜","true","true","true","true","true","true","false","201","703","3.5","4.3","4.8","4.4","4.0","发型有区别，但脸看起来不像完全同一个人"
"U066","社交尝鲜","true","true","true","true","true","true","false","201","705","3.5","3.8","4.6","3.7","4.0","发型有区别，但脸看起来不像完全同一个人"
"U067","社交尝鲜","false","false","false","false","false","false","false","0","0","3.9","4.2","4.5","4.4","4.0","首屏仍不足以让我立即上传照片"
"U068","社交尝鲜","true","true","true","true","false","false","false","201","706","3.3","4.1","4.5","4.4","4.2","发型有区别，但脸看起来不像完全同一个人"
"U069","社交尝鲜","true","true","true","true","true","true","false","201","706","3.7","4.1","4.6","4.5","4.2","比明星参考图更有用，因为能看到自己的大概效果"
"U070","社交尝鲜","false","false","false","false","false","false","false","0","0","3.5","4.3","4.5","3.8","4.4","首屏仍不足以让我立即上传照片"
"U071","低维护务实","true","true","true","true","true","true","false","201","703","4.0","4.3","4.8","4.5","4.5","三种真实效果放在一起很容易做决定"
"U072","低维护务实","true","true","true","true","true","true","false","201","703","4.1","3.8","4.6","4.1","4.0","三种真实效果放在一起很容易做决定"
"U073","低维护务实","false","false","false","false","false","false","false","0","0","3.7","4.3","4.7","4.2","4.1","首屏仍不足以让我立即上传照片"
"U074","低维护务实","true","true","true","true","true","true","false","201","703","3.7","3.8","4.6","4.6","3.9","愿意把选中的结果带给发型师沟通"
"U075","低维护务实","true","true","true","true","true","true","false","201","704","3.9","4.0","4.6","4.2","4.2","愿意把选中的结果带给发型师沟通"
"U076","低维护务实","true","true","true","true","true","true","true","201","704","4.0","4.5","4.8","3.8","4.3","愿意把选中的结果带给发型师沟通"
"U077","低维护务实","true","true","false","false","false","false","false","0","0","3.5","4.2","4.6","4.7","4.0","仍担心人脸照片的处理边界"
"U078","低维护务实","true","true","true","true","false","false","false","201","706","3.3","4.0","4.3","4.4","4.2","发型有区别，但脸看起来不像完全同一个人"
"U079","低维护务实","true","true","true","true","true","false","false","201","705","3.9","4.5","4.8","4.2","4.1","三种真实效果放在一起很容易做决定"
"U080","低维护务实","true","false","false","false","false","false","false","0","0","4.0","3.9","4.3","3.9","4.3","当时没有合适的正脸照片"
"U081","低维护务实","true","true","true","true","true","true","true","201","705","4.2","4.0","4.6","3.9","4.2","愿意把选中的结果带给发型师沟通"
"U082","低维护务实","true","true","true","true","true","true","false","201","705","3.4","3.8","4.4","4.6","4.3","发型有区别，但脸看起来不像完全同一个人"
"U083","低维护务实","true","true","true","true","true","true","false","201","704","3.5","4.1","4.3","4.3","4.0","发型有区别，但脸看起来不像完全同一个人"
"U084","低维护务实","false","false","false","false","false","false","false","0","0","3.8","3.9","4.6","4.2","3.9","首屏仍不足以让我立即上传照片"
"U085","低维护务实","true","true","true","true","true","true","false","201","705","3.4","4.2","4.3","4.4","4.0","发型有区别，但脸看起来不像完全同一个人"
"U086","低维护务实","true","true","true","true","false","false","false","201","704","3.7","3.8","4.5","3.7","3.9","结果有参考价值，但还不足以让我确定最终方案"
"U087","低维护务实","true","true","true","true","true","true","false","201","704","3.4","3.8","4.5","3.8","3.9","发型有区别，但脸看起来不像完全同一个人"
"U088","低维护务实","false","false","false","false","false","false","false","0","0","4.2","4.1","4.5","3.7","4.4","首屏仍不足以让我立即上传照片"
"U089","隐私敏感","true","true","true","true","true","false","false","201","706","3.7","4.4","4.3","3.9","4.2","三种真实效果放在一起很容易做决定"
"U090","隐私敏感","false","false","false","false","false","false","false","0","0","4.2","4.4","4.8","4.6","3.9","首屏仍不足以让我立即上传照片"
"U091","隐私敏感","true","true","false","false","false","false","false","0","0","4.2","4.2","4.5","3.6","3.9","仍担心人脸照片的处理边界"
"U092","隐私敏感","true","true","true","true","false","false","false","201","704","3.6","3.8","4.4","4.0","3.9","发型有区别，但脸看起来不像完全同一个人"
"U093","隐私敏感","true","true","true","true","false","false","false","201","705","3.7","4.5","4.7","3.8","3.9","发型有区别，但脸看起来不像完全同一个人"
"U094","隐私敏感","true","true","true","false","false","false","false","0","0","3.4","4.3","4.4","3.9","4.2","发型有区别，但脸看起来不像完全同一个人"
"U095","隐私敏感","true","false","false","false","false","false","false","0","0","3.4","4.2","4.5","3.9","4.2","当时没有合适的正脸照片"
"U096","隐私敏感","true","true","true","true","true","true","false","201","705","3.7","4.3","4.3","3.8","3.9","发型有区别，但脸看起来不像完全同一个人"
"U097","隐私敏感","false","false","false","false","false","false","false","0","0","3.7","4.1","4.4","4.1","3.9","首屏仍不足以让我立即上传照片"
"U098","隐私敏感","true","true","true","true","true","true","false","201","705","4.0","3.8","4.3","4.4","4.1","比明星参考图更有用，因为能看到自己的大概效果"
"U099","隐私敏感","true","true","true","true","true","true","false","201","705","3.3","4.2","4.7","3.6","4.2","发型有区别，但脸看起来不像完全同一个人"
"U100","隐私敏感","false","false","false","false","false","false","false","0","0","3.6","4.2","4.3","4.0","4.0","首屏仍不足以让我立即上传照片"
