id,segment,audience,currentLength,targetLength,goal,chemical,dailyMinutes,stage,started,uploaded,consented,completed,selected,latencyMs,status,variants,feedback
"U017","明确换发需求者","neutral","medium","medium","professional","false","10","result","true","true","true","true","false","712","201","柔和微卷|中性轻狼尾|自然侧分","三个方案有区别，但缺少正面/侧面和细节对比。"
"U018","明确换发需求者","masculine","long","long","professional","true","5","result","true","true","true","true","false","712","201","长发流线层次|自然侧分|空气刘海中长发","Mock叠加效果不像真实发型，无法据此做决定。"
"U019","明确换发需求者","masculine","short","short","professional","true","0","result","true","true","true","true","true","712","201","自然侧分|轻纹理短碎|法式短波波","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U020","明确换发需求者","feminine","short","long","fresh","false","5","result","true","true","true","true","false","712","201","空气刘海中长发|长发流线层次|自然侧分","我理解这是演示，但当前预览质量不足以让我选择。"
"U021","明确换发需求者","neutral","short","short","fresh","true","0","result","true","true","true","true","true","706","201","自然侧分|轻纹理短碎|法式短波波","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U022","明确换发需求者","neutral","long","long","volume","true","30","result","true","true","true","true","true","706","201","长发流线层次|柔和微卷|中性轻狼尾","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U023","明确换发需求者","feminine","long","long","fresh","true","20","result","true","true","true","true","true","706","201","空气刘海中长发|长发流线层次|自然侧分","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U024","明确换发需求者","masculine","long","long","fashion","true","20","result","true","true","true","true","true","707","201","长发流线层次|柔和微卷|中性轻狼尾","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U025","明确换发需求者","neutral","long","long","volume","false","10","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U026","明确换发需求者","feminine","medium","medium","volume","false","30","upload","true","true","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U027","明确换发需求者","neutral","medium","medium","volume","true","30","result","true","true","true","true","true","707","201","柔和微卷|中性轻狼尾|长发流线层次","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U028","明确换发需求者","neutral","long","long","professional","true","15","result","true","true","true","true","true","710","201","长发流线层次|自然侧分|空气刘海中长发","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U029","明确换发需求者","masculine","short","short","fresh","false","10","result","true","true","true","true","false","710","201","轻纹理短碎|自然侧分|法式短波波","我理解这是演示，但当前预览质量不足以让我选择。"
"U030","明确换发需求者","feminine","long","long","professional","false","20","result","true","true","true","true","false","711","201","长发流线层次|空气刘海中长发|自然侧分","三个方案有区别，但缺少正面/侧面和细节对比。"
"U031","明确换发需求者","feminine","medium","long","fresh","false","30","result","true","true","true","true","false","706","201","空气刘海中长发|长发流线层次|自然侧分","Mock叠加效果不像真实发型，无法据此做决定。"
"U032","明确换发需求者","masculine","long","long","fashion","false","15","result","true","true","true","true","false","706","201","长发流线层次|柔和微卷|中性轻狼尾","Mock叠加效果不像真实发型，无法据此做决定。"
"U033","谨慎决策者","masculine","short","long","younger","true","5","result","true","true","true","true","true","707","201","空气刘海中长发|长发流线层次|柔和微卷","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U034","谨慎决策者","feminine","medium","medium","fashion","false","5","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U035","谨慎决策者","neutral","medium","medium","fashion","false","10","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U036","谨慎决策者","masculine","long","long","younger","true","5","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U037","谨慎决策者","neutral","long","long","professional","false","0","result","true","true","true","true","false","708","201","长发流线层次|自然侧分|空气刘海中长发","我理解这是演示，但当前预览质量不足以让我选择。"
"U038","谨慎决策者","neutral","medium","medium","fresh","true","30","result","true","true","true","true","false","708","201","柔和微卷|中性轻狼尾|自然侧分","Mock叠加效果不像真实发型，无法据此做决定。"
"U039","谨慎决策者","feminine","medium","medium","volume","false","5","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U040","谨慎决策者","neutral","short","short","professional","false","15","result","true","true","true","true","true","708","201","自然侧分|轻纹理短碎|法式短波波","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U041","谨慎决策者","masculine","long","long","younger","true","10","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U042","谨慎决策者","masculine","short","long","fashion","false","0","result","true","true","true","true","true","705","201","长发流线层次|柔和微卷|中性轻狼尾","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U043","谨慎决策者","feminine","long","long","fashion","false","5","result","true","true","true","true","false","705","201","长发流线层次|空气刘海中长发|柔和微卷","Mock叠加效果不像真实发型，无法据此做决定。"
"U044","谨慎决策者","feminine","medium","short","professional","true","10","result","true","true","true","true","true","705","201","自然侧分|法式短波波|轻纹理短碎","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U045","谨慎决策者","neutral","short","short","fashion","false","0","upload","true","true","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U046","谨慎决策者","feminine","long","medium","fresh","false","15","result","true","true","true","true","true","705","201","柔和微卷|锁骨层次|中性轻狼尾","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U047","谨慎决策者","masculine","long","long","volume","false","10","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U048","谨慎决策者","feminine","short","medium","younger","true","15","result","true","true","true","true","true","706","201","柔和微卷|锁骨层次|中性轻狼尾","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U049","谨慎决策者","feminine","long","long","professional","false","30","result","true","true","true","true","false","707","201","长发流线层次|空气刘海中长发|自然侧分","我理解这是演示，但当前预览质量不足以让我选择。"
"U050","谨慎决策者","neutral","long","long","volume","false","15","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U051","谨慎决策者","neutral","short","short","fashion","true","20","result","true","true","true","true","false","705","201","法式短波波|自然侧分|柔和微卷","三个方案有区别，但缺少正面/侧面和细节对比。"
"U052","谨慎决策者","feminine","medium","medium","professional","false","0","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U053","谨慎决策者","feminine","short","short","volume","true","20","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U054","谨慎决策者","masculine","short","short","fresh","false","10","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U055","谨慎决策者","masculine","long","long","fashion","true","5","questionnaire","true","true","true","false","false","0","0","","问题不难，但我希望先浏览发型示例再填写条件。"
"U056","谨慎决策者","neutral","short","short","younger","false","30","result","true","true","true","true","true","705","201","法式短波波|自然侧分|柔和微卷","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U057","社交尝鲜者","neutral","long","long","fashion","false","20","result","true","true","true","true","false","705","201","长发流线层次|柔和微卷|中性轻狼尾","Mock叠加效果不像真实发型，无法据此做决定。"
"U058","社交尝鲜者","feminine","short","short","younger","false","30","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U059","社交尝鲜者","masculine","long","long","fresh","false","5","result","true","true","true","true","true","706","201","空气刘海中长发|长发流线层次|轻纹理短碎","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U060","社交尝鲜者","feminine","long","long","fresh","true","10","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U061","社交尝鲜者","neutral","medium","medium","fresh","true","5","result","true","true","true","true","true","706","201","柔和微卷|中性轻狼尾|自然侧分","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U062","社交尝鲜者","masculine","medium","long","volume","false","5","questionnaire","true","true","true","false","false","0","0","","问题不难，但我希望先浏览发型示例再填写条件。"
"U063","社交尝鲜者","masculine","medium","medium","fashion","false","0","result","true","true","true","true","false","706","201","柔和微卷|中性轻狼尾|锁骨层次","我理解这是演示，但当前预览质量不足以让我选择。"
"U064","社交尝鲜者","masculine","medium","long","younger","true","10","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U065","社交尝鲜者","masculine","medium","medium","fresh","false","30","result","true","true","true","true","true","706","201","柔和微卷|中性轻狼尾|轻纹理短碎","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U066","社交尝鲜者","feminine","long","long","younger","true","30","result","true","true","true","true","false","707","201","空气刘海中长发|长发流线层次|柔和微卷","我理解这是演示，但当前预览质量不足以让我选择。"
"U067","社交尝鲜者","neutral","long","long","fashion","true","10","result","true","true","true","true","true","709","201","长发流线层次|柔和微卷|中性轻狼尾","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U068","社交尝鲜者","masculine","medium","medium","professional","false","30","result","true","true","true","true","false","709","201","柔和微卷|中性轻狼尾|自然侧分","三个方案有区别，但缺少正面/侧面和细节对比。"
"U069","社交尝鲜者","masculine","short","short","fashion","true","15","result","true","true","true","true","false","709","201","法式短波波|轻纹理短碎|自然侧分","我理解这是演示，但当前预览质量不足以让我选择。"
"U070","社交尝鲜者","masculine","long","long","younger","true","10","result","true","true","true","true","true","709","201","空气刘海中长发|长发流线层次|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U071","社交尝鲜者","feminine","medium","short","younger","true","30","result","true","true","true","true","true","706","201","法式短波波|自然侧分|柔和微卷","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U072","社交尝鲜者","feminine","long","long","fresh","false","5","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U073","社交尝鲜者","masculine","short","short","younger","false","10","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U074","社交尝鲜者","masculine","medium","medium","professional","false","20","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U075","社交尝鲜者","neutral","short","short","younger","false","0","upload","true","false","false","false","false","0","0","","手头没有合适的正脸照片，准备成本比预想高。"
"U076","社交尝鲜者","masculine","long","long","professional","true","0","result","true","true","true","true","true","706","201","长发流线层次|自然侧分|空气刘海中长发","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U077","低维护务实者","masculine","long","long","volume","false","15","result","true","true","true","true","false","706","201","长发流线层次|轻纹理短碎|柔和微卷","Mock叠加效果不像真实发型，无法据此做决定。"
"U078","低维护务实者","neutral","medium","medium","fashion","true","10","result","true","true","true","true","false","707","201","柔和微卷|中性轻狼尾|锁骨层次","我理解这是演示，但当前预览质量不足以让我选择。"
"U079","低维护务实者","neutral","medium","medium","professional","false","0","result","true","true","true","true","true","707","201","柔和微卷|中性轻狼尾|自然侧分","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U080","低维护务实者","feminine","short","short","younger","true","15","result","true","true","true","true","true","708","201","法式短波波|自然侧分|柔和微卷","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U081","低维护务实者","neutral","short","short","younger","true","30","result","true","true","true","true","true","706","201","法式短波波|自然侧分|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U082","低维护务实者","neutral","medium","short","volume","true","15","result","true","true","true","true","true","706","201","轻纹理短碎|自然侧分|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U083","低维护务实者","masculine","long","long","fresh","false","15","result","true","true","true","true","true","707","201","空气刘海中长发|长发流线层次|轻纹理短碎","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U084","低维护务实者","masculine","medium","medium","professional","true","10","result","true","true","true","true","true","707","201","柔和微卷|中性轻狼尾|自然侧分","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U085","低维护务实者","feminine","short","medium","professional","true","15","result","true","true","true","true","true","708","201","柔和微卷|锁骨层次|中性轻狼尾","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U086","低维护务实者","feminine","short","short","fashion","false","5","result","true","true","true","true","false","709","201","法式短波波|自然侧分|柔和微卷","Mock叠加效果不像真实发型，无法据此做决定。"
"U087","低维护务实者","neutral","long","long","professional","true","10","result","true","true","true","true","false","709","201","长发流线层次|自然侧分|空气刘海中长发","Mock叠加效果不像真实发型，无法据此做决定。"
"U088","低维护务实者","masculine","short","short","fresh","true","20","result","true","true","true","true","false","709","201","轻纹理短碎|自然侧分|法式短波波","Mock叠加效果不像真实发型，无法据此做决定。"
"U089","低维护务实者","neutral","long","medium","volume","false","5","result","true","true","true","true","true","710","201","柔和微卷|中性轻狼尾|长发流线层次","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U090","低维护务实者","feminine","medium","long","volume","true","0","result","true","true","true","true","false","710","201","长发流线层次|空气刘海中长发|柔和微卷","我理解这是演示，但当前预览质量不足以让我选择。"
"U091","低维护务实者","masculine","medium","short","professional","true","30","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U092","低维护务实者","feminine","long","long","younger","true","10","result","true","true","true","true","false","704","201","空气刘海中长发|长发流线层次|柔和微卷","我理解这是演示，但当前预览质量不足以让我选择。"
"U093","隐私高敏用户","neutral","long","long","fashion","false","20","upload","true","true","false","false","false","0","0","","需要更明确地说明照片是否上传服务器、多久删除。"
"U094","隐私高敏用户","neutral","short","short","fashion","false","20","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U095","隐私高敏用户","neutral","medium","medium","younger","true","0","upload","true","false","false","false","false","0","0","","需要更明确地说明照片是否上传服务器、多久删除。"
"U096","隐私高敏用户","masculine","medium","short","fresh","false","30","landing","false","false","false","false","false","0","0","","首屏信息较多，我还没确定是否值得上传照片。"
"U097","隐私高敏用户","feminine","long","medium","fashion","false","5","result","true","true","true","true","false","704","201","柔和微卷|锁骨层次|中性轻狼尾","三个方案有区别，但缺少正面/侧面和细节对比。"
"U098","隐私高敏用户","neutral","medium","medium","younger","true","20","upload","true","false","false","false","false","0","0","","需要更明确地说明照片是否上传服务器、多久删除。"
"U099","隐私高敏用户","masculine","medium","medium","fresh","false","15","upload","true","false","false","false","false","0","0","","需要更明确地说明照片是否上传服务器、多久删除。"
"U100","隐私高敏用户","masculine","short","long","professional","true","10","result","true","true","true","true","false","705","201","长发流线层次|自然侧分|空气刘海中长发","我理解这是演示，但当前预览质量不足以让我选择。"
